NC(=O)C1=CC=CN=C1
NNC1=NN=C(CC2=CC=NC=C2)C2=CC=CC=C12
NC(=O)NO
CC(C)(C)C(O)C(OC1=CC=C(Cl)C=C1)N1C=NC=N1
BrC1=C(Br)C=C(S1)C(=O)NC1=CC=C(Br)C=C1
CN(C)C1C2CC3CC4=C(C(O)=CC=C4N(C)C)C(=O)C3C(=O)C2(O)C(=O)C(C(N)=O)C1=O
CC(=O)C1=CC=C(C=C1)S(=O)(=O)NC(=O)NC1CCCCC1
NC(=O)C(C1CCN(CCC2=CC3=C(OCC3)C=C2)C1)(C1=CC=CC=C1)C1=CC=CC=C1
COC1=CC=CC2=C1C1CN(CCCCN3C(=O)NC4=C(SC5=NC=C(N=C45)C4=CC=CC=C4)C3=O)CC1CO2
CCC(=O)OC(CC1=CC=CC=C1)(C(C)CN(C)C)C1=CC=CC=C1
COC1=C(OCCCN2CCC(CC2)C2=NOC3=C2C=CC(F)=C3)C=CC(=C1)C(C)=O
OC(=O)C1=C(Cl)C=CC(Cl)=N1
NC1=CC(N)=C(Cl)C=C1
CNC(=O)OC1=CC=CC2=C1OC(C)(C)C2
CN1CCCCC1CCN1C2=CC=CC=C2SC2=C1C=C(C=C2)S(C)=O
CCCCC
CCOC(=O)C1=CC=C(C=C1)N(C)C
"Cl.CCCCOC1=CC(=CC=C1N)C(=O)OCCN(CC)CC,CCCCOC1=CC(=CC=C1N)C(=O)OCCN(CC)CC"
COC(=O)C1=C(N)C=CC=C1
ClCC(CCl)OP(=O)(OC(CCl)CCl)OC(CCl)CCl
"CC1=NC(C)=C(C(C1C(=O)OCCN(CC1=CC=CC=C1)C1=CC=CC=C1)C1=CC(=CC=C1)[N+]([O-])=O)P1(=O)OCC(C)(C)CO1,CC1=NC(C)=C(C(C1P1(=O)OCC(C)(C)CO1)C1=CC(=CC=C1)[N+]([O-])=O)C(=O)OCCN(CC1=CC=CC=C1)C1=CC=CC=C1"
CCOC(=O)C1=C(N=NC(C)C)C2=C(N=C1)N(CC)N=C2
COC1=C(C=CC=C1)N1CCN(CC(O)COC2=CC=CC3=C2C=CC=C3)CC1
O=C(NNCNNC(=O)C1=CC=NC=C1)C1=CC=NC=C1
NNC(=O)C1=CC=CC=C1
COC(=O)C1C(C2=C(C=CC=C2)[N+]([O-])=O)C(C(=O)OCC(C)=O)=C(C)N=C1C
NC1=NC(=NC(N)=N1)C1=CC=CC=C1
CC1(C)CC(N)CC(C)(CN)C1
NC1=C(Cl)C(=CC(Cl)=C1)C(O)=O
ClC1=CC=C(Cl)C=C1
NC1=NC=NC(NC2=CC=C(Cl)C=C2)=N1
COC1=CC=C2N3CCN(C)C4=NCCC(C2=C1)=C34
N1C2=CC=CC=C2C2=C1C=CC=C2
COC1=CC=CC=C1N1CCN(CCCC(=O)C2=CC=C(F)C=C2)CC1
C1CC2=CC=CC=C2NC2=CC=CC=C12
C1CN(CCO1)SC1=NC2=C(S1)C=CC=C2
COC(COC(N)=O)C1=C(N2CC2)C(=O)C(C)=C(N2CC2)C1=O
CCOC1=CC=C(CC2=NC3=C(C=CC(=C3)[N+]([O-])=O)N2CCN(CC)CC)C=C1
CCOC1=CC=C(C=C1)N=NC1=C(N)C=C(N)C=C1
CCOC1=CC(=CC(OCC)=C1OCC)C1=NC=CC2=C1C=C(OC)C(OC)=C2
OC1=C2C(CC3=CC=CC(O)=C3C2=O)=CC=C1
CCC1=C(N)C=CC=C1
CC1=CC=C(N)C=C1C
COC1=CC=CC=C1N
COC1=CC=C(N)C=C1
NC1=CC=C(Cl)C=C1
COC1=CC=C(C=C1)C(=O)NC1=CC=CC=C1CCC1CCCCN1C
NC1=CC=C(C=C1)C1=CC=CC=C1
"Cl.CNC(C)CCC=C(C)C,CNC(C)CCC=C(C)C"
CCCCCCCCCCCCCCC
CC(=O)CC(C)(C)NC(=O)C=C
CN(C)CCCN1C2=CC=CC=C2C(C)(C)C2=C1C=CC=C2
CC1=CN(NC(=O)C2=C(C)N=C(N=C2)C2=CC=CC=N2)C2=CC=C(F)C=C12
COC(=O)C1=CC=C(C=O)C=C1
ClC1=CC=C(C=N1)C(Cl)(Cl)Cl
CC(C)(C)NCC(O)C1=CC(Cl)=C(N)C(=C1)C(F)(F)F
CC1C2CC3=C(C=C(O)C=C3)C1(C)CCN2CCC1=CC=CC=C1
CNC(=S)NN
COC1=CC=C(C=C1)C1=NC2=CC(=CC=C2N1)C1N=NC(=O)CC1C
BrC1=CC2=C(C=CC=C2)C2=C1C=CC=C2
NC1=CC=C(C(N)=C1)[N+]([O-])=O
OC1=CC=C(C=C1)[N+]([O-])=O
CCC1=CC2=C(SC3=C(C=CC=C3)N2CC(C)CN(C)C)C=C1
CCCNC(C)(C)COC(=O)C1=CC=CC=C1
"Cl.CCCSC1=CC(OC)=C(CCN)C=C1OC,CCCSC1=C(OC)C=C(CCN)C(OC)=C1"
COC1=CC(Br)=C(OC)C=C1CC(C)N
CCC1=CC(OC)=C(CC(C)N)C=C1OC
CC(CC(C#N)(C1=CC=CC=C1)C1=CC=CC=C1)N(C)C
CCC(O)C(CC(C)N(C)C)(C1=CC=CC=C1)C1=CC=CC=C1
NC(=N)C1=CC(Br)=C(OCCCOC2=C(Br)C=C(C=C2)C(N)=N)C=C1
CCOC1=C(N)C=C(NC(C)=O)C=C1
C1=CC=C2C=C3C4=CC=CC=C4C4=CC=CC=C4C3=CC2=C1
CCCCCOC(=O)C1=CC=C(O)C=C1
OC1=CC2=C(CC3=CC=CC=C23)C=C1
COC(=O)C1C(C2=CC(=CC=C2)[N+]([O-])=O)C(C(=O)OCCN(C)CC2=CC=CC=C2)=C(C)N=C1C
CNCCC(OC1=C2C=CC=CC2=CC=C1)C1=CC=CS1
OC1=C2N=CC=CC2=C(Br)C=C1Br
OC1=CC=C(C(=O)C2=CC(O)=C(O)C(O)=C2)C(O)=C1O
ClCC(=O)C1=CC=CC=C1
CNC(=O)OC1=C2C=CC=CC2=CC=C1
CC1=C(Cl)C(=O)OC2=C1C=CC(O)=C2
COC1=CC2=C(N=CN=C2C=C1OCCCN1CCCCC1)N1CCN(CC1)C(=O)NC1=CC=C(OC(C)C)C=C1
FC1=CC=C(NC2=NC=NC3=CC(OCCCN4CCOCC4)=C(NC(=O)C=C)C=C23)C=C1Cl
CC1COC2=C(N1)C=CC=C2
OC1=CC2=C(C=C(C=C2)S(O)(=O)=O)C=C1S(O)(=O)=O
[O-][N+](=O)C1=CC=C(Cl)C(=C1)C(=O)NC1=CC=CC=C1
C(OC1=CC=C(C=C1)C(C(C1=CC=C(OCC2CO2)C=C1)C1=CC=C(OCC2CO2)C=C1)C1=CC=C(OCC2CO2)C=C1)C1CO1
ClC1=NC(C#N)=C(Cl)C(Cl)=C1Cl
COC(=O)C1=CC(=CC=C1)C(=O)OC
[O-][N+](=O)C1=CC=C(F)C(=C1)[N+]([O-])=O
CN(C)C1=CC=C(C=C1)N=NC1=CC=CC(C)=C1
O1C2=CC=CC=C2OC2=C1C=CC=C2
[O-][N+](=O)C1=C(Cl)C=CC(Cl)=C1
CC1=C2C=C3C=CC4=C5C(C=CC(C2=CC=C1)=C35)=CC=C4
"CO,COC1=CC(NC2=C(C=NC3=CC(OCCCN4CCN(C)CC4)=C(OC)C=C23)C#N)=C(Cl)C=C1Cl,CO.COC1=C(Cl)C=C(Cl)C(NC2=C(C=NC3=CC(OCCCN4CCN(C)CC4)=C(OC)C=C23)C#N)=C1"
CCCCCCCCCCCCCCCCCCNC(=O)OC1CCN(CC1)C(=O)OCC(COC(=O)N(CC1=CC=CC=[N+]1CC)C(=O)C1=C(OC)C=CC=C1)OC
COC1=CC(C=C2CCCC(=CC3=CC=C(O)C(OC)=C3)C2=O)=CC=C1O
[O-][N+](=O)C1=CC(=C(Cl)C(=C1Cl)[N+]([O-])=O)C(F)(F)F
CCCCCCOC(=O)C1=C(C=CC=C1)C(=O)OCCCCCC
CSC1=CC2=C(SC3=CC=CC=C3N2CCC2CCCCN2C)C=C1
CN(C)CCCN1C2=CC=CC=C2CCC2=CC=C(Cl)C=C12
OC1(CCN(CCCC(C2=CC=C(F)C=C2)C2=CC=C(F)C=C2)CC1)C1=CC=C(Cl)C(=C1)C(F)(F)F
CCCCCCCCCCCC[N+](C)(C)CCCCCCCCCCCC
CC=O
CC1=CC(O)=C2C(=O)C3=C(O)C=C(O)C=C3C(=O)C2=C1
BrC1=CC(Br)=C(Br)C=C1
CCN(CC)C(=O)C(C)OC1=C2C=CC=CC2=CC=C1
C1CCC(CC1)NSC1=NC2=C(S1)C=CC=C2
ClC1=CC=C(OS(=O)(=O)C2=CC=C(Cl)C=C2)C=C1
NC1=C(N)C=C(Cl)C=C1
OC1=CC2=C(C=C1)C(=O)C1=CC=CC=C1C2=O
COC1CC(OC2CC(OC2C2(C)CCC(O2)C2(C)CCC3(CC(O)C(C)C(O3)C(C)C3OC(O)(CC(O)=O)C(C)C(OC)C3OC)O2)C2OC(C)(O)C(C)CC2C)OC(C)C1OC
OC1=CC=C(C=C1)C1(CCCCC1)C1=CC=C(O)C=C1
C1=CC2=C3C=CC=C4C=CC5=CC=CC(=C2C=C1)C5=C34
C1=CC2=CC3=CC=C4C=CC=C5C=CC(=C2C=C1)C3=C45
O=N(=NC1=CC=CC=C1)C1=CC=CC=C1
C1=CC2=CC3=C(C=C2C=C1)C1=C2C3=CC=CC2=CC=C1
CC(C)(C)C(O)C(OC1=CC=C(Cl)C=C1)N1C=NC=N1
NC1=CC(N)=C(Cl)C=C1
ClC1=CC=C(Cl)C=C1
C1CC2=CC=CC=C2NC2=CC=CC=C12
